job_titles,company_names,company_locations,work_methods,post_dates,work_times
"Analyst/Senior Associate, AML Analytics - Financial Engineering & Modeling (FEM)",Deloitte,"Deloitte · Toronto, ON · Reposted 2 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 2 days ago,Full-time
"Senior Statistician, Advanced Analytics",International Air Transport Association (IATA),"International Air Transport Association (IATA) · Montreal, QC · Reposted 2 weeks ago · 48 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 weeks ago,Hybrid
Aircraft Reliability and Maintenance Data Analyst,BOMBARDIER,"BOMBARDIER · Dorval, QC · Reposted 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 3 days ago,Hybrid
Analyste sénior.e (processus de gouvernance des données) / Senior Analyst (Data Governance Process Analyst),Electronic Arts (EA),"Electronic Arts (EA) · Montreal, QC · 3 days ago · 24 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
Human Resources Systems Support Analyst,Linamar Corporation,"Linamar Corporation · Guelph, ON · 2 days ago · 19 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 days ago,On-site
Senior Technical Data Analyst,System1,"System1 · Guelph, ON · Reposted 6 days ago · 52 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 6 days ago,Hybrid
"Senior Growth Analyst, Data Science",Affirm,"Affirm · London, ON · Reposted 1 week ago · Over 100 applicants",Remote,Reposted 1 week ago,Full-time
"Senior Growth Analyst, Data Science",Affirm,"Affirm · Hamilton, ON · Reposted 1 week ago · Over 100 applicants",Remote,Reposted 1 week ago,Full-time
Analyste sénior.e (processus de gouvernance des données) / Senior Analyst (Data Governance Process Analyst),Electronic Arts (EA),"Electronic Arts (EA) · Toronto, ON · 3 days ago · 34 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
"Principal Pricing Intelligence Analyst, Lodging",Hopper,"Hopper · Montreal, QC · Reposted 2 weeks ago · Over 100 applicants",Remote,Reposted 2 weeks ago,Full-time
Sales and Operations Planning (S&OP) Business Analyst,BRP,BRP · Greater Montreal Metropolitan Area · Reposted 2 days ago · 31 applicants,"Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 days ago,Hybrid
