job_titles,company_names,company_locations,work_methods,post_dates,work_times
Senior Data Analyst - EAX,Electronic Arts (EA),"Electronic Arts (EA) · Vancouver, BC · 2 weeks ago · 64 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Quantitative Analyst,Affirm,"Affirm · London, ON · Reposted 1 day ago · 50 applicants",Remote,Reposted 1 day ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Winnipeg, MB · Reposted 1 day ago · 48 applicants",Remote,Reposted 1 day ago,Full-time
Associate Business Intelligence Analyst,CDW Canada,"CDW Canada · Vancouver, BC · 6 days ago · 89 applicants","On-site
Matches your job preferences, workplace type is On-site.",6 days ago,On-site
Strategic Analytics Consultant - Workday Solutions,Langara College,"Langara College · Vancouver, BC · 2 weeks ago · 27 applicants",CA$42.53/hr - CA$62.38/hr,2 weeks ago,On-site
Analyst - Advanced data analytics,BBA Consultants,"BBA Consultants · Montreal, QC · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Analyste BI Senior,CGI,"CGI · Quebec, Canada · 2 weeks ago · 15 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Senior Data Analyst - Development Release Engineering (DRE),Electronic Arts (EA),"Electronic Arts (EA) · Vancouver, BC · Reposted 1 week ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Conversion Rate Optimization (CRO) Specialist,Clevertech,Clevertech · Canada · 6 days ago · 46 applicants,Remote,6 days ago,Full-time
Senior Game Data Analyst,Sony Interactive Entertainment,"Sony Interactive Entertainment · Montreal, QC · 3 days ago · 91 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 days ago,Hybrid
Soccer Statistician (Part-time),Genius Sports,"Genius Sports · Ottawa, ON · 3 days ago · 43 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 days ago,On-site
