job_titles,company_names,company_locations,work_methods,post_dates,work_times
Data Analyst,Infotek Consulting Inc. ,"Infotek Consulting Inc.  · Toronto, ON · 1 day ago · 323 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 day ago,Hybrid
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · Calgary, AB · Reposted 1 week ago · 48 applicants",Remote,Reposted 1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · London, ON · 1 week ago · 43 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Kitchener, ON · 1 week ago · 22 applicants",Remote,1 week ago,Full-time
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · New Brunswick, Canada · Reposted 1 week ago · 65 applicants",Remote,Reposted 1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Victoria, BC · 1 week ago · 31 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Oshawa, ON · 1 week ago · 41 applicants",Remote,1 week ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Ontario, Canada · Reposted 2 days ago · 28 applicants",Remote,Reposted 2 days ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Victoria, BC · Reposted 2 days ago · 17 applicants",Remote,Reposted 2 days ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Guelph, ON · Reposted 2 days ago · 30 applicants",Remote,Reposted 2 days ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Mississauga, ON · Reposted 2 days ago · 24 applicants",Remote,Reposted 2 days ago,Full-time
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · Barrie, ON · 1 week ago · 104 applicants",Remote,1 week ago,Full-time
Data Analyst (Procurement),Symcor,"Symcor · Mississauga, ON · 4 days ago · 239 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",4 days ago,Hybrid
Business Intelligence Analyst,FCC / FAC,"FCC / FAC · Regina, SK · 2 days ago · 96 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 days ago,Hybrid
"Data Analyst, Data Analytics",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 1 week ago · 109 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Analyste BI senior,CGI,"CGI · Montreal, QC · 1 week ago · 46 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Analytics Analyst/Developer,"Novocol Pharma, a Septodont company","Novocol Pharma, a Septodont company · Cambridge, ON · 2 weeks ago · 220 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Power BI Consultant,Buchanan Technologies,"Buchanan Technologies · Brampton, ON · 2 weeks ago · 954 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 weeks ago,Hybrid
Senior Data Analyst - Development Release Engineering (DRE),Electronic Arts (EA),"Electronic Arts (EA) · Vancouver, BC · 2 weeks ago · 116 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
Quality Data Analyst,Johnson Controls,"Johnson Controls · Edmonton, AB · Reposted 1 week ago · 657 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
ANALYSTE BI,Levio,"Levio · Montreal, QC · 1 week ago · 83 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Associate Data Analyst,"Integrated Resources, Inc ( IRI )","Integrated Resources, Inc ( IRI ) · Toronto, ON · 3 days ago · 371 applicants",$35/hr - $37/hr,3 days ago,On-site
"Analyst Developer, BI",BRP,BRP · Greater Montreal Metropolitan Area · Reposted 1 day ago · 609 applicants,"Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 day ago,Hybrid
"Reporting Data Analyst, Shared Services",Canada Life,"Canada Life · Greater Toronto Area, Canada · 2 days ago · 114 applicants","On-site
Matches your job preferences, workplace type is On-site.",2 days ago,On-site
"Analyst, Co-op Replenishment Optimization, Data & Analytics",Loblaw Companies Limited,"Loblaw Companies Limited · Brampton, ON · 1 week ago · 133 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
